CANDIDATE_ID,CANDIDATE_NAME,AGE,CONSTITUENCY,STATE,PARTY,NO_PENDING_CRIMINAL_CASES,EDUCATION,EARNINGS,STATE_LITERACY_RATE,STATE_SEAT_SHARE,PARTY_GRP_IDX,AGE_GROUP_IDX,EDUCATION_GROUP_IDX,DELTA_STATE_VOTER_TURNOUT,NO_OF_PHASES,RE_CONTEST,SEX,WINNER,TOTAL_VOTES,VOTING_PERCENTAGE
8813,A M ARIFF,54,ALAPPUZHA,KERALA,Communist Party of India  (Marxist),2,Graduate Professional,13048206,0.9391,0.037,3,2,3,0.0373,1,0,M,1,445970,0.4096
10208,A M IZHARUL HAQUE,43,UJIARPUR,BIHAR,Sathi Aur Aapka Faisala Party,0,Post Graduate,854501,0.6382,0.073,1,3,4,0.0181,7,0,M,0,1842,0.0019
7094,A NARAYANASWAMY,62,CHITRADURGA,KARNATAKA,Bharatiya Janata Party,0,Graduate,96197642,0.756,0.051,3,1,3,0.0143,2,0,M,1,626195,0.5026
8470,A NATARAJAN,67,COIMBATORE,TAMIL NADU,Independent,0,5th Pass,7000,0.8033,0.072,1,1,0,-0.0173,1,0,M,0,1370,0.0011
9218,A PRADEEP KUMAR,55,KOZHIKODE,KERALA,Communist Party of India  (Marxist),1,12th Pass,9835469.84,0.9391,0.037,3,2,2,0.0373,1,0,M,0,408219,0.3793
10611,A T DADAKHALANDAR,37,DAVANAGERE,KARNATAKA,Independent,0,10th Pass,109736,0.756,0.051,1,4,1,0.0143,2,0,M,0,2723,0.0023
6472,A. BEEMARAO MILINTHER,34,VELLORE,TAMIL NADU,Independent,0,10th Pass,50000,0.8033,0.072,1,4,1,-0.0173,1,0,M,0,,
7376,A. CHRISTHURAJ,41,BANGALORE CENTRAL,KARNATAKA,Independent,0,10th Pass,316000,0.756,0.051,1,3,1,0.0143,2,0,M,0,475,0.0004
7040,A. DEVADAS,51,BELLARY,KARNATAKA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),0,8th Pass,1943531,0.756,0.051,1,2,0,0.0143,2,0,M,0,3833,0.0031
6469,A. HABEEBULLA,44,VELLORE,TAMIL NADU,Desiya Uzhavar Uzhaipalar Kazhagam,0,5th Pass,775500,0.8033,0.072,1,3,0,-0.0173,1,0,M,0,,
6542,A. HAFEEZ A. AZIZ,39,BULDHANA,MAHARASHTRA,Bahujan Samaj Party,0,12th Pass,466769,0.8291,0.088,3,4,2,0.0047,4,0,M,0,6565,0.0059
6282,A. HEMANTH,28,CHITTOOR,ANDHRA PRADESH,Independent,0,5th Pass,50000,0.674,0.046,1,5,0,0.0524,1,0,M,0,2094,0.0016
8013,A. J. PATEL,73,MAHESANA,GUJARAT,Indian National Congress,0,Graduate Professional,602553039.1,0.7931,0.048,3,1,3,0.0045,1,0,M,0,378006,0.3494
8286,A. JAYAMANI,35,CUDDALORE,TAMIL NADU,Independent,0,Graduate Professional,910000,0.8033,0.072,1,4,3,-0.0173,1,0,M,0,574,0.0006
8275,A. MANIKANDAN,43,CUDDALORE,TAMIL NADU,Purvanchal Janta Party (Secular),0,8th Pass,-428250,0.8033,0.072,1,3,0,-0.0173,1,0,M,0,638,0.0006
8284,A. MARIMUTHU,34,CUDDALORE,TAMIL NADU,Independent,0,Graduate Professional,368000,0.8033,0.072,1,4,3,-0.0173,1,0,M,0,635,0.0006
5292,A. RAJA,55,NILGIRIS,TAMIL NADU,Dravida Munnetra Kazhagam,6,Graduate Professional,45289390,0.8033,0.072,2,2,3,-0.0173,1,0,M,1,3257,0.0032
6477,A. VIJAYA KUMAR,64,VELLORE,TAMIL NADU,Independent,0,12th Pass,20750344,0.8033,0.072,1,1,2,-0.0173,1,0,M,0,,
6819,A.A. SABRI,69,CHEVELLA,TELANGANA,Independent,0,12th Pass,2326979,0.665,0.031,1,1,2,-0.0814,1,0,M,0,4514,0.0035
8101,A.ANTONY SESU RAJA,38,SIVAGANGA,TAMIL NADU,Independent,0,10th Pass,992000,0.8033,0.072,1,4,1,-0.0173,1,0,M,0,1191,0.0011
5237,A.C. SHANMUGAM,67,VELLORE,TAMIL NADU,All India Anna Dravida Munnetra Kazhagam,0,Graduate,895327047,0.8033,0.072,2,1,3,-0.0173,1,0,M,0,,
6392,A.G. MOURYA,62,CHENNAI NORTH,TAMIL NADU,Makkal Needhi Maiam,0,Post Graduate,29093000,0.8033,0.072,1,1,4,-0.0173,1,0,M,0,103167,0.108
7157,A.G.PATHIMARAJ,33,PUDUCHERRY,PUDUCHERRY,Bahujan Samaj Party,0,Graduate Professional,217971,0.8655,0.002,3,4,3,-0.0089,1,0,M,0,2689,0.0034
5210,A.J.SHERINE,26,CHENNAI SOUTH,TAMIL NADU,Naam Tamilar Katchi,0,Post Graduate,3466760,0.8033,0.072,1,5,4,-0.0173,1,0,F,0,50222,0.0446
5233,A.K. MOORTHY,55,ARAKKONAM,TAMIL NADU,Pattali Makkal Katchi,6,Post Graduate,38312839,0.8033,0.072,2,2,4,-0.0173,1,0,M,0,343234,0.2914
6355,A.MANIKANDAN,32,TIRUVALLUR,TAMIL NADU,Independent,0,12th Pass,279400,0.8033,0.072,1,4,2,-0.0173,1,0,M,0,3126,0.0022
8640,A.NARESH,29,CHENNAI SOUTH,TAMIL NADU,Tamil Nadu Ilangyar Katchi,0,Graduate Professional,226000,0.8033,0.072,1,5,3,-0.0173,1,0,M,0,1381,0.0012
8115,A.RADHA KRISHNAN,63,SIVAGANGA,TAMIL NADU,Independent,0,12th Pass,-115000,0.8033,0.072,1,1,2,-0.0173,1,0,M,0,905,0.0008
7682,A.RAJU,58,BANGALORE SOUTH,KARNATAKA,Bahujan Samaj Party,0,Graduate,53959000,0.756,0.051,3,2,3,0.0143,2,0,M,0,3864,0.0033
9107,A.SAMPATH,56,ATTINGAL,KERALA,Communist Party of India  (Marxist),0,Doctorate,34837355,0.9391,0.037,3,2,5,0.0373,1,0,M,0,342748,0.3411
5287,A.SENTHILVEL,46,TIRUPPUR,TAMIL NADU,Independent,0,8th Pass,4256700,0.8033,0.072,1,3,0,-0.0173,1,0,M,0,1899,0.0017
8100,A.VELLADURAI,51,SIVAGANGA,TAMIL NADU,Ezhuchi Tamilargal Munnetra Kazhagam,0,8th Pass,2785600,0.8033,0.072,1,2,0,-0.0173,1,0,M,0,2553,0.0024
10016,AADHALRAO SHIVAJI DATTATREY,64,SHIRUR,MAHARASHTRA,Shivsena,10,Others,240267345,0.8291,0.088,2,1,0,0.0047,4,0,M,0,577347,0.4465
8872,AADHI KRISHNAN P,43,KARUR,TAMIL NADU,Bahujan Samaj Party,0,Literate,156582.28,0.8033,0.072,3,3,0,-0.0173,1,0,M,0,3059,0.0028
5452,AADIL,60,HARIDWAR,UTTARAKHAND,Independent,0,Literate,0,0.7963,0.009,1,1,0,-0.0018,1,0,M,0,1319,0.001
13118,AAKASH BIRLA,25,KHANDWA,MADHYA PRADESH,Madhya Pradesh Jan Vikas Party,0,12th Pass,37390,0.7063,0.053,1,5,2,0.0943,4,0,M,0,7759,0.0053
12090,AAKASH KUMAR,27,PURVI CHAMPARAN,BIHAR,Rashtriya Lok Samta Party,0,12th Pass,25867226,0.6382,0.073,2,5,2,0.0181,7,0,M,0,284139,0.2843
