CANDIDATE_NAME,CONSTITUENCY_CODE,CONSTITUENCY_NAME_CAST,EVM_VOTES,PARTY,POSTAL VOTES,STATE_CODE,STATE_NAME,TOTAL_VOTES,VOTING_PERCENTAGE,CONSTITUENCY_NAME
AARE ELLANNA,1,ADILABAD(ST),3019,Independent,0,S29,TELANGANA,3019,0.28,ADILABAD
GANTA PENTANNA,1,ADILABAD(ST),4548,Independent,0,S29,TELANGANA,4548,0.43,ADILABAD
A M IZHARUL HAQUE,22,UJIARPUR,1840,Sathi Aur Aapka Faisala Party,2,S04,BIHAR,1842,0.19,UJIARPUR
A N RADHAKRISHNAN,11,CHALAKUDY,153934,Bharatiya Janata Party,225,S11,KERALA,154159,15.57,CHALAKUDY
A NARAYANASWAMY,18,CHITRADURGA (SC),624200,Bharatiya Janata Party,1995,S10,KARNATAKA,626195,50.26,CHITRADURGA
KUMRA RAJU,1,ADILABAD(ST),4388,Independent,0,S29,TELANGANA,4388,0.41,ADILABAD
AKHILESH,15,ALAPPUZHA,1777,Ambedkarite Party of India,5,S11,KERALA,1782,0.16,ALAPPUZHA
NETHAVATH RAMDAS,1,ADILABAD(ST),5523,Independent,0,S29,TELANGANA,5523,0.52,ADILABAD
A. DEVADAS,9,BELLARY (ST),3832,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1,S10,KARNATAKA,3833,0.31,BELLARY
A.G. MOURYA,2,CHENNAI NORTH,102980,Makkal Needhi Maiam,187,S22,TAMIL NADU,103167,10.8,CHENNAI NORTH
AMBEDKARI HASNURAM AMBEDKARI,18,AGRA (SC),2767,Independent,1,S24,UTTAR PRADESH,2768,0.24,AGRA
A. J. PATEL,4,MAHESANA,376193,Indian National Congress,1813,S06,GUJARAT,378006,34.94,MAHESANA
BABU LAL,18,AGRA (SC),2379,Independent,2,S24,UTTAR PRADESH,2381,0.21,AGRA
A. MANIKANDAN,26,CUDDALORE,636,Purvanchal Janta Party (Secular),2,S22,TAMIL NADU,638,0.06,CUDDALORE
ATULBHAI NANUBHAI KATHIRIYA,7,AHMEDABAD EAST,6081,Independent,1,S06,GUJARAT,6082,0.54,AHMEDABAD EAST
BHARVAD SAILESHKUMAR KALIDAS,7,AHMEDABAD EAST,572,Independent,1,S06,GUJARAT,573,0.05,AHMEDABAD EAST
CHAUHAN KIRITBHAI,7,AHMEDABAD EAST,3547,Independent,1,S06,GUJARAT,3548,0.32,AHMEDABAD EAST
DEVDA DASHARATH MISARILAL,7,AHMEDABAD EAST,1392,Independent,3,S06,GUJARAT,1395,0.12,AHMEDABAD EAST
A.G.PATHIMARAJ,1,PUDUCHERRY,2685,Bahujan Samaj Party,4,U07,PUDUCHERRY,2689,0.34,PUDUCHERRY
A.J.SHERINE,3,CHENNAI SOUTH,50156,Naam Tamilar Katchi,66,S22,TAMIL NADU,50222,4.46,CHENNAI SOUTH
A.K. MOORTHY,7,ARAKKONAM,341527,Pattali Makkal Katchi,1707,S22,TAMIL NADU,343234,29.14,ARAKKONAM
JAYSWAL NARESHKUMAR BABULAL,7,AHMEDABAD EAST,2509,Independent,8,S06,GUJARAT,2517,0.23,AHMEDABAD EAST
MAHESH PRABHUDAS AHUJA,7,AHMEDABAD EAST,1789,Independent,2,S06,GUJARAT,1791,0.16,AHMEDABAD EAST
A PRADEEP KUMAR,5,KOZHIKODE,406075,Communist Party of India  (Marxist),2144,S11,KERALA,408219,37.93,KOZHIKODE
MINAXIBEN RAKESHKUMAR SOLANKI,7,AHMEDABAD EAST,888,Independent,10,S06,GUJARAT,898,0.08,AHMEDABAD EAST
A.RAJU,26,BANGALORE SOUTH,3846,Bahujan Samaj Party,18,S10,KARNATAKA,3864,0.33,BANGALORE SOUTH
MISHRA RAJKUMAR MALEKCHAND,7,AHMEDABAD EAST,529,Independent,5,S06,GUJARAT,534,0.05,AHMEDABAD EAST
A.SEKHAR,5,KOZHIKODE,1027,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),4,S11,KERALA,1031,0.1,KOZHIKODE
A.VELLADURAI,31,SIVAGANGA,2552,Ezhuchi Tamilargal Munnetra Kazhagam,1,S22,TAMIL NADU,2553,0.24,SIVAGANGA
AADHI KRISHNAN P,23,KARUR,3047,Bahujan Samaj Party,12,S22,TAMIL NADU,3059,0.28,KARUR
PARESHKUMAR NANUBHAI MULANI,7,AHMEDABAD EAST,457,Independent,1,S06,GUJARAT,458,0.04,AHMEDABAD EAST
AAKASH BIRLA,28,KHANDWA,7756,Madhya Pradesh Jan Vikas Party,3,S12,MADHYA PRADESH,7759,0.53,KHANDWA
AAKASH KUMAR,3,PURVI CHAMPARAN,281500,Rashtriya Lok Samta Party,2639,S04,BIHAR,284139,28.43,PURVI CHAMPARAN
SHARMA BRIJESHKUMAR UJAGARLAL,7,AHMEDABAD EAST,1337,Independent,0,S06,GUJARAT,1337,0.12,AHMEDABAD EAST
AAPPA AABA LOKARE,43,MADHA,6839,Bahujan Samaj Party,44,S13,MAHARASHTRA,6883,0.57,MADHA
AASHIN U. S.,77,VARANASI,503,Indian Gandhiyan Party,1,S24,UTTAR PRADESH,504,0.05,VARANASI
SHEKH SALMABANU MOHAMAD SALIM,7,AHMEDABAD EAST,1465,Independent,1,S06,GUJARAT,1466,0.13,AHMEDABAD EAST
AASHRAY SHARMA,2,MANDI,240184,Indian National Congress,1546,S08,HIMACHAL PRADESH,241730,25.68,MANDI
AATMA RAM SAHU,7,DURG,2218,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),3,S26,CHHATTISGARH,2221,0.16,DURG
AAYTU RAM MANDAVI,10,BASTAR (ST),30422,Bahujan Samaj Party,27,S26,CHHATTISGARH,30449,3.34,BASTAR
ABBAS CHHATRIWALA,31,MUMBAI SOUTH,528,Jan Adhikar Party,0,S13,MAHARASHTRA,528,0.07,MUMBAI SOUTH
BHITORA BHAVESH CHIMANBHAI,8,AHMEDABAD WEST(SC),808,Independent,2,S06,GUJARAT,810,0.08,AHMEDABAD WEST
ABDUAL RASHID GANIE,2,SRINAGAR,776,Jammu & Kashmir National Panthers Party,-767,S09,JAMMU AND KASHMIR,9,0.42,SRINAGAR
